,5,6,8,9,10,14,19,22,24,28,29,30,32,33,34,37,39,40,41,43,45,48,49,51,53,54,57,59,65,67,68,72,73,74,76,77,79,81,82,83,84,86,87,88,90,94,95,96,97,99
Song,Terminator,All My Life (feat. J. Cole),soso,Party No Dey Stop,SCAR,Soweto (feat. Don Toliver),Konongo Zongo,Apotheke,Oil in my Head,Activate,45,GWAGWALADA,Aquafina,Oh Ma Linda,Rush,Stamina,Soja,Xtra Cool,Who Is Your Guy? (Remix),Sad Boys Don't Fold,Last Last,PRAY,Bandana,Carry Me Go,Sability,The Homeless Song,Wasteman,Kwaku the Traveller,Prey Da Youngsta,Believe Me,Philo,Toxic Love City,Oh Paradise,For My Hand (feat. Ed Sheeran),We Up,Firm Foundation (He Wont) [feat. Chandler Moore & Cody Carnes],Shu-Peru,Don't Forget Me,Second Sermon (Remix),Hewale Lala(Song of Strength),Electricity,Champion Sound,Real Life (feat. Stormzy),Soweto,Under the Influence,Obaa Hemaa,Penny,I Will Pray,Sinner,Calm Down
Artist,KingPromise,LilDurk,OmahLay,"AdekunleGold,Zinoleesky","SongBird,Gyakie,JBEE","Victony,Rema,Tempoe",BlackSherif,"Stonebwoy,DJMaphorisa",BlackSherif,"Stonebwoy,Davido",BlackSherif,"BNXNfkaBuju,KizzDaniel,SeyiVibez",YoungJonn,"Reggie,O'Kenneth,JayBahd,KwakuDMC",AyraStarr,"TiwaSavage,AyraStarr,YoungJonn",BlackSherif,YoungJonn,"Spyro,TiwaSavage",BlackSherif,BurnaBoy,BNXNfkaBuju,"FireboyDML,Asake","Khaid,BoySpyce",AyraStarr,BlackSherif,BlackSherif,BlackSherif,BlackSherif,JohnnyDrille,"BellaShmurda,OmahLay",BlackSherif,BlackSherif,BurnaBoy,BlackSherif,MaverickCityMusic,KizzDaniel,BlackSherif,"BlackSherif,BurnaBoy",PerezMusik,"Pheelz,Davido","Davido,Focalistic",BurnaBoy,"Victony,Tempoe",ChrisBrown,"SkyfaceSDW,O'Kenneth,KwakuDMC,Reggie,BeeztrapKotm,JayBahd",KwesiArthur,EbukaSongs,"Iyanya,BNXNfkaBuju","Rema,SelenaGomez"
